date,home_team,away_team,team,scorer,minute,own_goal,penalty
1916-02-07,Chile,Uruguay,Uruguay,José Piendibene,44.0,False,False
1916-02-07,Chile,Uruguay,Uruguay,Isabelino Gradín,55.0,False,False
1916-02-07,Chile,Uruguay,Uruguay,Isabelino Gradín,70.0,False,False
1916-02-07,Chile,Uruguay,Uruguay,José Piendibene,75.0,False,False
1916-06-07,Argentina,Chile,Argentina,Alberto Ohaco,2.0,False,False
1916-06-07,Argentina,Chile,Argentina,Juan Domingo Brown,60.0,False,False
1916-06-07,Argentina,Chile,Argentina,Juan Domingo Brown,62.0,False,False
1916-06-07,Argentina,Chile,Argentina,Alberto Marcovecchio,67.0,False,False
1916-06-07,Argentina,Chile,Argentina,Alberto Ohaco,75.0,False,False
1916-06-07,Argentina,Chile,Argentina,Alberto Marcovecchio,81.0,False,False
1916-08-07,Brasil,Chile,Brasil,Demóstenes Correia de Syllos,29.0,False,False
1916-10-07,Argentina,Brasil,Argentina,José Durand Laguna,10.0,False,False
1916-10-07,Argentina,Brasil,Brasil,Manoel Alencar Monte,23.0,False,False
1916-12-07,Brasil,Uruguay,Brasil,Arthur Friedenreich,8.0,False,False
1916-12-07,Brasil,Uruguay,Uruguay,Isabelino Gradín,58.0,False,False
1916-12-07,Brasil,Uruguay,Uruguay,Jose Tognola,77.0,False,False
,Uruguay,Chile,Uruguay,Carlos Scarone,20.0,False,False
,Uruguay,Chile,Uruguay,Ángel Romano,44.0,False,False
,Uruguay,Chile,Uruguay,Carlos Scarone,62.0,False,False
,Uruguay,Chile,Uruguay,Ángel Romano,75.0,False,False
1917-03-10,Argentina,Brasil,Brasil,Neco,8.0,False,False
1917-03-10,Argentina,Brasil,Argentina,Pedro Calomino,15.0,False,False
1917-03-10,Argentina,Brasil,Brasil,Silvio Lagreca,39.0,False,False
1917-03-10,Argentina,Brasil,Argentina,Alberto Ohaco,56.0,False,False
1917-03-10,Argentina,Brasil,Argentina,Alberto Ohaco,58.0,False,False
1917-03-10,Argentina,Brasil,Argentina,Antonio Blanco,80.0,False,False
1917-06-10,Argentina,Chile,Argentina,Luis García,76.0,False,False
1917-07-10,Uruguay,Brasil,Uruguay,Héctor Scarone,8.0,False,False
1917-07-10,Uruguay,Brasil,Uruguay,Ángel Romano,17.0,False,False
1917-07-10,Uruguay,Brasil,Uruguay,Ángel Romano,77.0,False,False
1917-07-10,Uruguay,Brasil,Uruguay,Carlos Scarone,86.0,False,False
1917-12-10,Brasil,Chile,Brasil,Caetano Izzo,21.0,False,False
1917-12-10,Brasil,Chile,Brasil,Neco,23.0,False,False
1917-12-10,Brasil,Chile,Brasil,Haroldo Domingues,26.0,False,False
1917-12-10,Brasil,Chile,Brasil,Amílcar Barbuy,41.0,False,False
1917-12-10,Brasil,Chile,Brasil,Haroldo Domingues,59.0,False,False
,Uruguay,Argentina,Uruguay,Héctor Scarone,62.0,False,False
1919-11-05,Brasil,Chile,Brasil,Arthur Friedenreich,19.0,False,False
1919-11-05,Brasil,Chile,Brasil,Neco,21.0,False,False
1919-11-05,Brasil,Chile,Brasil,Arthur Friedenreich,38.0,False,False
1919-11-05,Brasil,Chile,Brasil,Arthur Friedenreich,76.0,False,False
1919-11-05,Brasil,Chile,Brasil,Haroldo Domingues,79.0,False,False
1919-11-05,Brasil,Chile,Brasil,Neco,83.0,False,False
,Argentina,Uruguay,Uruguay,Carlos Scarone,19.0,False,False
,Argentina,Uruguay,Uruguay,Héctor Scarone,23.0,False,False
,Argentina,Uruguay,Argentina,Carlos Izaguirre,34.0,False,False
,Argentina,Uruguay,Argentina,Manuel Varela,79.0,False,False
,Argentina,Uruguay,Uruguay,Isabelino Gradín,85.0,False,False
,Chile,Uruguay,Uruguay,Carlos Scarone,31.0,False,False
,Chile,Uruguay,Uruguay,José Pérez,43.0,False,False
,Brasil,Argentina,Brasil,Heitor,22.0,False,False
,Brasil,Argentina,Brasil,Amílcar Barbuy,57.0,False,False
,Brasil,Argentina,Argentina,Carlos Izaguirre,65.0,False,False
,Brasil,Argentina,Brasil,Adolpho Millón Junior,77.0,False,False
,Argentina,Chile,Argentina,Edwin Clarcke,10.0,False,False
,Argentina,Chile,Argentina,Carlos Izaguirre,13.0,False,False
,Argentina,Chile,Argentina,Edwin Clarcke,23.0,False,False
,Argentina,Chile,Argentina,Edwin Clarcke,62.0,False,False
,Brasil,Uruguay,Uruguay,Isabelino Gradín,13.0,False,False
,Brasil,Uruguay,Uruguay,Carlos Scarone,17.0,False,False
,Brasil,Uruguay,Brasil,Neco,29.0,False,False
,Brasil,Uruguay,Brasil,Neco,63.0,False,False
,Brasil,Uruguay,Brasil,Arthur Friedenreich,122.0,False,False
1920-11-09,Chile,Brasil,Brasil,Ismael Alvariza,53.0,False,False
1920-12-09,Uruguay,Argentina,Uruguay,José Piendibene,10.0,False,False
1920-12-09,Uruguay,Argentina,Argentina,Raúl Echeverría,75.0,False,False
,Brasil,Uruguay,Uruguay,Ángel Romano,23.0,False,False
,Brasil,Uruguay,Uruguay,Antonio Urdinarán,26.0,False,False
,Brasil,Uruguay,Uruguay,José Pérez,29.0,False,False
,Brasil,Uruguay,Uruguay,Antonio Campolo,48.0,False,False
