team,elo
España,1819.6175662272224
Marruecos,1789.3644078582645
Francia,1765.0809929864772
Inglaterra,1754.3288984924864
Japón,1747.1205180791917
Senegal,1738.920894923173
México,1737.5176131721416
Australia,1729.1155843722972
Corea del Sur,1724.837873369737
Argelia,1722.1856223213608
Portugal,1720.8883458531182
Argentina,1719.984370162039
Irán,1711.6674522811095
Estados Unidos,1706.4871833036166
Panamá,1701.4518641365712
Países Bajos,1699.8332821627707
Uzbekistán,1698.6567664766485
Jordania,1697.2764282371063
Croacia,1686.582717157799
Alemania,1686.0658376963663
Noruega,1674.9213400017557
Egipto,1674.296257918268
Turquía,1673.8169900835371
Iraq,1673.455698458008
Costa de Marfil,1668.86681341556
Canadá,1660.2984573182478
Bélgica,1652.5790644062165
Túnez,1641.608983590298
RD Congo,1641.4959779858148
Haití,1636.1056870522611
Brasil,1632.6921841657174
Scotland,1629.688016872717
Arabia Saudita,1628.5148836687993
Suiza,1624.259033730605
Nueva Zelanda,1617.4500631239985
Austria,1613.8488178258092
South Africa,1611.982051683451
Ecuador,1608.553553240634
Colombia,1603.4434515597038
Qatar,1601.985101232048
Uruguay,1596.854566237645
Cape Verde,1587.10451052286
Ghana,1576.7969644947248
Curazao,1575.122381937776
Czech Republic,1562.8619331957532
Suecia,1555.6732693370789
Paraguay,1536.762816746987
Bosnia y Herzegovina,1498.2518153417318
RD Congo,1403.9058426102904
