date,home_team,away_team,home_score,away_score,tournament
1872-11-30,Scotland,Inglaterra,0.0,0.0,Friendly
1873-03-08,Inglaterra,Scotland,4.0,2.0,Friendly
1874-03-07,Scotland,Inglaterra,2.0,1.0,Friendly
1875-03-06,Inglaterra,Scotland,2.0,2.0,Friendly
1876-03-04,Scotland,Inglaterra,3.0,0.0,Friendly
1876-03-25,Scotland,Wales,4.0,0.0,Friendly
1877-03-03,Inglaterra,Scotland,1.0,3.0,Friendly
1877-03-05,Wales,Scotland,0.0,2.0,Friendly
1878-03-02,Scotland,Inglaterra,7.0,2.0,Friendly
1878-03-23,Scotland,Wales,9.0,0.0,Friendly
1879-01-18,Inglaterra,Wales,2.0,1.0,Friendly
1879-04-05,Inglaterra,Scotland,5.0,4.0,Friendly
1879-04-07,Wales,Scotland,0.0,3.0,Friendly
1880-03-13,Scotland,Inglaterra,5.0,4.0,Friendly
1880-03-15,Wales,Inglaterra,2.0,3.0,Friendly
1880-03-27,Scotland,Wales,5.0,1.0,Friendly
1881-02-26,Inglaterra,Wales,0.0,1.0,Friendly
1881-03-12,Inglaterra,Scotland,1.0,6.0,Friendly
1881-03-14,Wales,Scotland,1.0,5.0,Friendly
1882-02-18,Northern Ireland,Inglaterra,0.0,13.0,Friendly
1882-03-11,Scotland,Inglaterra,5.0,1.0,Friendly
1882-03-13,Wales,Inglaterra,5.0,3.0,Friendly
1882-03-25,Scotland,Wales,5.0,0.0,Friendly
1883-02-03,Inglaterra,Wales,5.0,0.0,Friendly
1883-02-24,Inglaterra,Northern Ireland,7.0,0.0,Friendly
1883-03-10,Inglaterra,Scotland,2.0,3.0,Friendly
1883-03-12,Wales,Scotland,0.0,3.0,Friendly
1884-01-26,Northern Ireland,Scotland,0.0,5.0,British Home Championship
1884-02-23,Northern Ireland,Inglaterra,1.0,8.0,British Home Championship
1884-03-15,Scotland,Inglaterra,1.0,0.0,British Home Championship
1884-03-17,Wales,Inglaterra,0.0,4.0,British Home Championship
1884-03-29,Scotland,Wales,4.0,1.0,British Home Championship
1885-02-28,Inglaterra,Northern Ireland,4.0,0.0,British Home Championship
1885-03-14,Inglaterra,Wales,1.0,1.0,British Home Championship
1885-03-14,Scotland,Northern Ireland,8.0,2.0,British Home Championship
1885-03-21,Inglaterra,Scotland,1.0,1.0,British Home Championship
1885-03-23,Wales,Scotland,1.0,8.0,British Home Championship
1885-11-28,Estados Unidos,Canadá,0.0,1.0,Friendly
1886-03-13,Northern Ireland,Inglaterra,1.0,6.0,British Home Championship
1886-03-20,Northern Ireland,Scotland,2.0,7.0,British Home Championship
1886-03-27,Scotland,Inglaterra,1.0,1.0,British Home Championship
1886-03-29,Wales,Inglaterra,1.0,3.0,British Home Championship
1886-04-10,Scotland,Wales,4.0,1.0,British Home Championship
1886-11-25,Estados Unidos,Canadá,3.0,2.0,Friendly
1887-02-05,Inglaterra,Northern Ireland,7.0,0.0,British Home Championship
1887-02-19,Scotland,Northern Ireland,4.0,1.0,British Home Championship
1887-02-26,Inglaterra,Wales,4.0,0.0,British Home Championship
1887-03-19,Inglaterra,Scotland,2.0,3.0,British Home Championship
1887-03-21,Wales,Scotland,0.0,2.0,British Home Championship
1888-02-04,Inglaterra,Wales,5.0,1.0,British Home Championship
1888-03-10,Scotland,Wales,5.0,1.0,British Home Championship
1888-03-17,Scotland,Inglaterra,0.0,5.0,British Home Championship
1888-03-24,Northern Ireland,Scotland,2.0,10.0,British Home Championship
1888-04-07,Northern Ireland,Inglaterra,1.0,5.0,British Home Championship
1888-09-19,Scotland,Canadá,4.0,0.0,Friendly
1889-02-23,Inglaterra,Wales,4.0,1.0,British Home Championship
1889-03-02,Inglaterra,Northern Ireland,6.0,1.0,British Home Championship
1889-03-09,Scotland,Northern Ireland,7.0,0.0,British Home Championship
1889-04-13,Inglaterra,Scotland,2.0,3.0,British Home Championship
1889-04-15,Wales,Scotland,0.0,0.0,British Home Championship
1890-03-15,Northern Ireland,Inglaterra,1.0,9.0,British Home Championship
1890-03-15,Wales,Inglaterra,1.0,3.0,British Home Championship
1890-03-22,Scotland,Wales,5.0,0.0,British Home Championship
1890-03-29,Northern Ireland,Scotland,1.0,4.0,British Home Championship
1890-04-05,Scotland,Inglaterra,1.0,1.0,British Home Championship
1891-03-07,Inglaterra,Wales,4.0,1.0,British Home Championship
1891-03-07,Inglaterra,Northern Ireland,6.0,1.0,British Home Championship
1891-03-21,Wales,Scotland,3.0,4.0,British Home Championship
1891-03-28,Scotland,Northern Ireland,2.0,1.0,British Home Championship
1891-04-04,Inglaterra,Scotland,2.0,1.0,British Home Championship
1892-03-05,Northern Ireland,Inglaterra,0.0,2.0,British Home Championship
1892-03-05,Wales,Inglaterra,0.0,2.0,British Home Championship
1892-03-19,Northern Ireland,Scotland,2.0,3.0,British Home Championship
1892-03-26,Scotland,Wales,6.0,1.0,British Home Championship
1892-04-02,Scotland,Inglaterra,1.0,4.0,British Home Championship
1893-02-25,Inglaterra,Northern Ireland,6.0,1.0,British Home Championship
1893-03-13,Inglaterra,Wales,6.0,0.0,British Home Championship
