team,player,value
Francia,Kylian Mbappé,180.0
Francia,Michael Olise,150.0
Francia,Désiré Doué,120.0
Francia,William Saliba,100.0
Francia,Ousmane Dembélé,100.0
Francia,Rayan Cherki,90.0
Francia,Warren Zaïre-Emery,80.0
Francia,Dayot Upamecano,70.0
Francia,Aurélien Tchouaméni,70.0
Francia,Bradley Barcola,70.0
Francia,Jules Koundé,60.0
Francia,Maxence Lacroix,50.0
Francia,Manu Koné,50.0
Francia,Maghnes Akliouche,50.0
Francia,Marcus Thuram,50.0
Francia,Ibrahima Konaté,45.0
Francia,Malo Gusto,35.0
Francia,Robin Risser,30.0
Francia,Jean-Philippe Mateta,30.0
Francia,Mike Maignan,20.0
Francia,Theo Hernández,20.0
Francia,Lucas Hernández,18.0
Francia,Adrien Rabiot,18.0
Francia,Brice Samba,7.0
Francia,Lucas Digne,6.0
Francia,N'Golo Kanté,4.0
Inglaterra,Jude Bellingham,130.0
Inglaterra,Declan Rice,120.0
Inglaterra,Bukayo Saka,110.0
Inglaterra,Morgan Rogers,90.0
Inglaterra,Elliot Anderson,75.0
Inglaterra,Marc Guéhi,70.0
Inglaterra,Nico O'Reilly,70.0
Inglaterra,Kobbie Mainoo,70.0
Inglaterra,Eberechi Eze,65.0
Inglaterra,Anthony Gordon,65.0
Inglaterra,Reece James,60.0
Inglaterra,Harry Kane,60.0
Inglaterra,Noni Madueke,50.0
Inglaterra,Jarell Quansah,45.0
Inglaterra,Tino Livramento,45.0
Inglaterra,Ezri Konsa,40.0
Inglaterra,Marcus Rashford,40.0
Inglaterra,Djed Spence,30.0
Inglaterra,Dean Henderson,28.0
Inglaterra,James Trafford,25.0
Inglaterra,Ollie Watkins,25.0
Inglaterra,Ivan Toney,20.0
Inglaterra,Jordan Pickford,13.0
Inglaterra,John Stones,12.0
Inglaterra,Dan Burn,4.0
Inglaterra,Jordan Henderson,1.2
España,Lamine Yamal,200.0
España,Pedri,150.0
España,Pau Cubarsí,80.0
España,Martín Zubimendi,75.0
España,Dani Olmo,60.0
España,Marc Cucurella,50.0
España,Rodri,50.0
España,Ferran Torres,50.0
España,Joan García,45.0
España,Eric García,40.0
España,Álex Baena,40.0
España,Nico Williams,40.0
España,Marc Pubill,35.0
España,Pedro Porro,35.0
España,David Raya,30.0
España,Fabián Ruiz,30.0
España,Gavi,30.0
España,Víctor Muñoz,30.0
España,Yéremy Pino,30.0
España,Mikel Merino,25.0
España,Mikel Oyarzabal,25.0
España,Unai Simón,22.0
España,Alejandro Grimaldo,20.0
España,Marcos Llorente,20.0
España,Aymeric Laporte,8.0
España,Borja Iglesias,2.8
Portugal,Vitinha,140.0
Portugal,João Neves,140.0
Portugal,Nuno Mendes,80.0
Portugal,Pedro Neto,60.0
Portugal,Rúben Dias,55.0
Portugal,Matheus Nunes,50.0
Portugal,Rafael Leão,50.0
Portugal,Diogo Costa,40.0
Portugal,Gonçalo Inácio,40.0
Portugal,Francisco Trincão,40.0
Portugal,Bruno Fernandes,35.0
Portugal,Tomás Araújo,30.0
Portugal,Diogo Dalot,30.0
Portugal,Francisco Conceição,30.0
Portugal,Gonçalo Ramos,30.0
Portugal,João Félix,28.0
Portugal,Renato Veiga,25.0
Portugal,Rúben Neves,25.0
Portugal,Bernardo Silva,22.0
Portugal,Samú Costa,15.0
Portugal,Cristiano Ronaldo,10.0
Portugal,João Cancelo,8.0
Portugal,Rui Silva,7.0
Portugal,Nélson Semedo,6.0
Portugal,Gonçalo Guedes,6.0
Portugal,José Sá,3.5
Alemania,Jamal Musiala,100.0
Alemania,Florian Wirtz,100.0
Alemania,Aleksandar Pavlovic,90.0
Alemania,Nico Schlotterbeck,55.0
Alemania,Kai Havertz,55.0
Alemania,Nick Woltemade,55.0
Alemania,Felix Nmecha,50.0
Alemania,Malick Thiaw,45.0
Alemania,Angelo Stiller,45.0
Alemania,Nathaniel Brown,40.0
Alemania,Jamie Leweling,40.0
Alemania,Maximilian Beier,40.0
Alemania,Joshua Kimmich,35.0
Alemania,Jonathan Tah,28.0
Alemania,Assan Ouédraogo,28.0
Alemania,David Raum,25.0
Alemania,Deniz Undav,22.0
Alemania,Leroy Sané,20.0
Alemania,Waldemar Anton,18.0
Alemania,Nadiem Amiri,17.0
Alemania,Alexander Nübel,12.0
Alemania,Leon Goretzka,12.0
Alemania,Antonio Rüdiger,6.0
Alemania,Manuel Neuer,4.0
Alemania,Oliver Baumann,2.5
Alemania,Pascal Groß,2.5
Brasil,Vinicius Junior,140.0
Brasil,Gabriel,75.0
Brasil,Matheus Cunha,75.0
Brasil,Bruno Guimarães,70.0
Brasil,Raphinha,70.0
Brasil,Igor Thiago,65.0
Brasil,Rayan,60.0
Brasil,Éderson,45.0
Brasil,Gabriel Martinelli,45.0
Brasil,Endrick,40.0
Brasil,Bremer,35.0
Brasil,Lucas Paquetá,32.0
Brasil,Marquinhos,28.0
Brasil,Luiz Henrique,24.0
Brasil,Roger Ibañez,18.0
Brasil,Alisson,15.0
Brasil,Léo Pereira,12.0
Brasil,Fabinho,12.0
Brasil,Ederson,10.0
Brasil,Neymar,8.0
Brasil,Douglas Santos,7.5
Brasil,Casemiro,6.0
Brasil,Danilo,2.0
Brasil,Alex Sandro,1.0
Brasil,Weverton,0.7
Brasil,Internacional_1,0.2
Argentina,Julián Alvarez,100.0
Argentina,Enzo Fernández,90.0
Argentina,Lautaro Martínez,85.0
Argentina,Nico Paz,80.0
Argentina,Alexis Mac Allister,70.0
Argentina,Cristian Romero,45.0
Argentina,Lisandro Martínez,40.0
Argentina,Valentín Barco,40.0
Argentina,Giuliano Simeone,40.0
Argentina,Marcos Senesi,25.0
Argentina,Exequiel Palacios,25.0
Argentina,José Manuel López,25.0
Argentina,Nico González,22.0
Argentina,Facundo Medina,18.0
Argentina,Nahuel Molina,15.0
Argentina,Thiago Almada,15.0
Argentina,Lionel Messi,15.0
Argentina,Rodrigo De Paul,14.0
Argentina,Emiliano Martínez,12.0
Argentina,Giovani Lo Celso,8.0
Argentina,Gerónimo Rulli,6.0
Argentina,Leandro Paredes,5.0
Argentina,Gonzalo Montiel,4.5
Argentina,Nicolás Tagliafico,4.0
Argentina,Juan Musso,3.0
Argentina,Nicolás Otamendi,1.0
Países Bajos,Ryan Gravenberch,80.0
Países Bajos,Cody Gakpo,60.0
Países Bajos,Micky van de Ven,50.0
Países Bajos,Tijjani Reijnders,50.0
Países Bajos,Jan Paul van Hecke,45.0
Países Bajos,Donyell Malen,45.0
Países Bajos,Bart Verbruggen,40.0
Países Bajos,Jorrel Hato,40.0
