team,elo_rating
Spain,1819.6175662272224
Morocco,1789.3644078582645
France,1765.0809929864772
England,1754.3288984924864
Japan,1747.1205180791917
Senegal,1738.920894923173
Mexico,1737.5176131721416
Australia,1729.1155843722972
South Korea,1724.837873369737
Nigeria,1724.5006361055832
Algeria,1722.1856223213608
Portugal,1720.8883458531182
Argentina,1719.9843701620393
Iran,1711.6674522811095
United States,1706.4871833036166
Panama,1701.4518641365712
Netherlands,1699.8332821627707
Uzbekistan,1698.6567664766483
Jordan,1697.2764282371063
Croatia,1686.582717157799
Germany,1686.0658376963665
Norway,1674.9213400017557
Egypt,1674.296257918268
Turkey,1673.8169900835373
Iraq,1673.455698458008
Ivory Coast,1668.86681341556
Italy,1668.7466904873525
Canada,1660.2984573182478
Belgium,1652.5790644062165
Denmark,1644.9786689692282
Costa Rica,1644.4279707851554
Tunisia,1641.608983590298
DR Congo,1641.4959779858148
Cameroon,1637.367748085644
Haiti,1636.1056870522611
Brazil,1632.6921841657174
Scotland,1629.688016872717
Saudi Arabia,1628.5148836687993
Mali,1626.2008989956432
Switzerland,1624.2590337306053
Jersey,1620.9314722612148
New Zealand,1617.4500631239985
Austria,1613.8488178258092
South Africa,1611.9820516834507
Jamaica,1610.8630074688695
Ecuador,1608.553553240634
Honduras,1606.4102372267012
Ynys Môn,1606.4100083981734
Burkina Faso,1603.4957558198266
Colombia,1603.4434515597038
Qatar,1601.985101232048
Thailand,1600.9650036115208
Guatemala,1600.7141109011916
Uruguay,1596.854566237645
Greece,1592.6463472420176
Wales,1587.8397043680877
Cape Verde,1587.10451052286
Vietnam,1587.003468963095
Russia,1585.3244097586132
Ukraine,1581.3984621571813
Serbia,1581.0334526255126
United Arab Emirates,1577.6666499404573
Ghana,1576.7969644947248
Curaçao,1575.122381937776
Malaysia,1574.7388276714971
Oman,1570.2118698166614
Syria,1567.4156715658016
Hungary,1563.651155832788
Czech Republic,1562.8619331957532
Isle of Man,1562.8005670012417
Bahrain,1562.1666017227278
Guadeloupe,1561.588570810902
New Caledonia,1559.530005387597
Guyana,1557.2468352273816
Sweden,1555.6732693370789
Abkhazia,1555.242700246596
Kárpátalja,1551.9068648312616
Nicaragua,1548.7446888216634
Poland,1548.150674479606
Suriname,1546.982983412469
Dominican Republic,1546.437722132979
Kosovo,1545.913085513395
Romania,1543.8441320579648
Slovenia,1543.7192699256261
Zambia,1543.6967750237782
Northern Cyprus,1541.2306210270992
Tamil Eelam,1541.0074012637474
South Ossetia,1540.0243471741007
Guernsey,1536.9941249018357
Paraguay,1536.762816746987
Angola,1535.5443465236494
Palestine,1534.1111764336142
Papua New Guinea,1533.305416225558
Uganda,1532.8845477779428
Zanzibar,1531.4392168719985
North Macedonia,1530.9769038265822
