group,team
A,Mexico
A,Korea Republic
A,Czech Republic
A,South Africa
B,Switzerland
B,Canada
B,Qatar
B,Bosnia and Herzegovina
C,Scotland
C,Morocco
C,Brazil
C,Haiti
D,USA
D,Australia
D,Turkey
D,Paraguay
E,Germany
E,Curaçao
E,Ivory Coast
E,Ecuador
F,Netherlands
F,Japan
F,Sweden
F,Tunisia
G,Belgium
G,Egypt
G,Iran
G,New Zealand
H,Spain
H,Cape Verde
H,Saudi Arabia
H,Uruguay
I,France
I,Senegal
I,Iraq
I,Norway
J,Argentina
J,Algeria
J,Austria
J,Jordan
K,Portugal
K,DR Congo
K,Uzbekistan
K,Colombia
L,England
L,Croatia
L,Ghana
L,Panama
